10000.000000	number of photons
0.03000	bin size [cm]
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.01500 	 5.981e+02 	 4.091e+01 	 1.663e+01 
0.04500 	 1.291e+02 	 2.294e+01 	 1.381e+01 
0.07500 	 6.411e+01 	 1.613e+01 	 1.173e+01 
0.10500 	 3.964e+01 	 1.221e+01 	 1.006e+01 
0.13500 	 2.629e+01 	 9.374e+00 	 8.611e+00 
0.16500 	 1.829e+01 	 7.308e+00 	 7.363e+00 
0.19500 	 1.332e+01 	 5.788e+00 	 6.260e+00 
0.22500 	 9.890e+00 	 4.658e+00 	 5.358e+00 
0.25500 	 7.368e+00 	 3.766e+00 	 4.576e+00 
0.28500 	 5.636e+00 	 3.115e+00 	 3.866e+00 
0.31500 	 4.377e+00 	 2.547e+00 	 3.305e+00 
0.34500 	 3.418e+00 	 2.088e+00 	 2.833e+00 
0.37500 	 2.696e+00 	 1.729e+00 	 2.423e+00 
0.40500 	 2.133e+00 	 1.424e+00 	 2.072e+00 
0.43500 	 1.690e+00 	 1.180e+00 	 1.746e+00 
0.46500 	 1.349e+00 	 9.957e-01 	 1.494e+00 
0.49500 	 1.093e+00 	 8.349e-01 	 1.268e+00 
0.52500 	 8.857e-01 	 6.844e-01 	 1.096e+00 
0.55500 	 7.127e-01 	 5.764e-01 	 9.472e-01 
0.58500 	 5.776e-01 	 4.801e-01 	 8.101e-01 
0.61500 	 4.756e-01 	 4.064e-01 	 6.866e-01 
0.64500 	 3.883e-01 	 3.394e-01 	 5.944e-01 
0.67500 	 3.171e-01 	 2.826e-01 	 5.053e-01 
0.70500 	 2.609e-01 	 2.379e-01 	 4.297e-01 
0.73500 	 2.153e-01 	 2.008e-01 	 3.670e-01 
0.76500 	 1.767e-01 	 1.663e-01 	 3.218e-01 
0.79500 	 1.468e-01 	 1.374e-01 	 2.705e-01 
0.82500 	 1.199e-01 	 1.161e-01 	 2.314e-01 
0.85500 	 9.749e-02 	 9.752e-02 	 2.079e-01 
0.88500 	 8.099e-02 	 8.298e-02 	 1.787e-01 
0.91500 	 6.808e-02 	 7.043e-02 	 1.519e-01 
0.94500 	 5.736e-02 	 5.933e-02 	 1.303e-01 
0.97500 	 4.704e-02 	 4.990e-02 	 1.068e-01 
1.00500 	 3.837e-02 	 4.198e-02 	 9.248e-02 
1.03500 	 3.194e-02 	 3.549e-02 	 8.198e-02 
1.06500 	 2.654e-02 	 3.046e-02 	 6.799e-02 
