10000.000000	number of photons
0.03000	bin size [cm]
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
1.09500 	 2.184e-02 	 2.495e-02 	 5.817e-02 
1.12500 	 1.845e-02 	 2.103e-02 	 5.205e-02 
1.15500 	 1.518e-02 	 1.798e-02 	 4.478e-02 
1.18500 	 1.279e-02 	 1.519e-02 	 3.779e-02 
1.21500 	 1.075e-02 	 1.352e-02 	 3.261e-02 
1.24500 	 8.999e-03 	 1.091e-02 	 2.828e-02 
1.27500 	 7.405e-03 	 9.029e-03 	 2.341e-02 
1.30500 	 6.281e-03 	 7.698e-03 	 2.006e-02 
1.33500 	 5.469e-03 	 6.615e-03 	 1.774e-02 
1.36500 	 4.443e-03 	 5.582e-03 	 1.417e-02 
1.39500 	 3.700e-03 	 4.634e-03 	 1.169e-02 
1.42500 	 3.067e-03 	 3.869e-03 	 1.029e-02 
1.45500 	 2.575e-03 	 3.351e-03 	 9.375e-03 
1.48500 	 2.135e-03 	 2.950e-03 	 7.990e-03 
1.51500 	 1.767e-03 	 2.420e-03 	 6.611e-03 
1.54500 	 1.526e-03 	 1.954e-03 	 5.585e-03 
1.57500 	 1.253e-03 	 1.737e-03 	 4.832e-03 
1.60500 	 1.116e-03 	 1.496e-03 	 3.813e-03 
1.63500 	 9.527e-04 	 1.314e-03 	 3.077e-03 
1.66500 	 7.859e-04 	 1.033e-03 	 3.134e-03 
1.69500 	 6.690e-04 	 8.862e-04 	 2.471e-03 
1.72500 	 5.712e-04 	 7.375e-04 	 2.507e-03 
1.75500 	 4.711e-04 	 6.137e-04 	 2.352e-03 
1.78500 	 4.128e-04 	 5.274e-04 	 1.671e-03 
1.81500 	 3.411e-04 	 4.304e-04 	 1.559e-03 
1.84500 	 2.577e-04 	 3.602e-04 	 1.225e-03 
1.87500 	 2.124e-04 	 3.083e-04 	 1.143e-03 
1.90500 	 1.830e-04 	 2.491e-04 	 7.965e-04 
1.93500 	 1.495e-04 	 2.145e-04 	 7.453e-04 
1.96500 	 1.283e-04 	 1.596e-04 	 6.294e-04 
1.99500 	 1.025e-04 	 1.444e-04 	 3.843e-04 
2.02500 	 8.891e-05 	 1.339e-04 	 3.582e-04 
2.05500 	 7.282e-05 	 1.187e-04 	 1.888e-04 
2.08500 	 5.662e-05 	 1.082e-04 	 1.183e-04 
2.11500 	 5.262e-05 	 8.717e-05 	 1.726e-04 
2.14500 	 4.072e-05 	 7.290e-05 	 1.170e-04 
2.17500 	 3.656e-05 	 5.558e-05 	 1.225e-04 
2.20500 	 2.891e-05 	 3.570e-05 	 9.702e-05 
2.23500 	 2.198e-05 	 3.612e-05 	 1.173e-04 
2.26500 	 2.231e-05 	 3.502e-05 	 5.243e-05 
2.29500 	 2.330e-05 	 2.484e-05 	 4.071e-05 
2.32500 	 1.926e-05 	 2.043e-05 	 4.229e-05 
2.35500 	 1.495e-05 	 2.386e-05 	 2.795e-05 
2.38500 	 9.916e-06 	 2.194e-05 	 3.766e-05 
2.41500 	 9.300e-06 	 1.854e-05 	 4.890e-05 
2.44500 	 6.970e-06 	 1.589e-05 	 2.629e-05 
2.47500 	 5.508e-06 	 1.244e-05 	 2.520e-05 
2.50500 	 3.687e-06 	 9.444e-06 	 4.806e-06 
2.53500 	 3.716e-06 	 8.036e-06 	 1.299e-05 
2.56500 	 2.806e-06 	 4.782e-06 	 4.871e-06 
2.59500 	 2.133e-06 	 2.454e-06 	 2.958e-06 
2.62500 	 1.840e-06 	 2.798e-06 	 0.000e+00 
2.65500 	 1.010e-06 	 5.207e-07 	 0.000e+00 
2.68500 	 9.027e-07 	 4.549e-07 	 0.000e+00 
2.71500 	 5.344e-07 	 3.034e-07 	 0.000e+00 
2.74500 	 5.156e-07 	 0.000e+00 	 0.000e+00 
2.77500 	 5.470e-07 	 0.000e+00 	 0.000e+00 
2.80500 	 1.228e-07 	 0.000e+00 	 0.000e+00 
2.83500 	 8.246e-08 	 0.000e+00 	 0.000e+00 
2.86500 	 5.093e-08 	 0.000e+00 	 0.000e+00 
2.89500 	 7.692e-08 	 0.000e+00 	 0.000e+00 
2.92500 	 2.754e-08 	 0.000e+00 	 0.000e+00 
2.95500 	 3.150e-08 	 0.000e+00 	 0.000e+00 
2.98500 	 3.543e-08 	 0.000e+00 	 0.000e+00 
3.01500 	 0.000e+00 	 0.000e+00 	 0.000e+00 
