10000.000000	number of photons
0.03000	bin size [cm]
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.97500 	 8.573e-02 	 1.907e-01 	 1.099e+00 
1.00500 	 7.960e-02 	 1.828e-01 	 1.057e+00 
1.03500 	 7.576e-02 	 1.769e-01 	 1.021e+00 
1.06500 	 6.907e-02 	 1.687e-01 	 1.042e+00 
1.09500 	 6.460e-02 	 1.566e-01 	 9.953e-01 
1.12500 	 6.260e-02 	 1.562e-01 	 9.439e-01 
1.15500 	 5.880e-02 	 1.465e-01 	 9.237e-01 
1.18500 	 5.408e-02 	 1.435e-01 	 8.976e-01 
1.21500 	 5.289e-02 	 1.347e-01 	 8.919e-01 
1.24500 	 4.872e-02 	 1.285e-01 	 8.618e-01 
1.27500 	 4.626e-02 	 1.254e-01 	 8.219e-01 
1.30500 	 4.300e-02 	 1.245e-01 	 8.356e-01 
1.33500 	 4.049e-02 	 1.185e-01 	 7.624e-01 
1.36500 	 3.894e-02 	 1.104e-01 	 7.582e-01 
1.39500 	 3.763e-02 	 1.066e-01 	 7.585e-01 
1.42500 	 3.656e-02 	 1.039e-01 	 7.086e-01 
1.45500 	 3.247e-02 	 1.020e-01 	 6.974e-01 
1.48500 	 3.215e-02 	 9.767e-02 	 6.724e-01 
1.51500 	 3.082e-02 	 9.485e-02 	 6.725e-01 
1.54500 	 2.881e-02 	 8.972e-02 	 6.566e-01 
1.57500 	 2.778e-02 	 8.572e-02 	 6.367e-01 
1.60500 	 2.638e-02 	 8.782e-02 	 6.278e-01 
1.63500 	 2.575e-02 	 8.188e-02 	 6.057e-01 
1.66500 	 2.487e-02 	 7.799e-02 	 6.018e-01 
1.69500 	 2.341e-02 	 7.604e-02 	 5.879e-01 
1.72500 	 2.267e-02 	 7.281e-02 	 5.661e-01 
1.75500 	 2.052e-02 	 7.216e-02 	 5.338e-01 
1.78500 	 1.996e-02 	 6.621e-02 	 5.495e-01 
1.81500 	 1.921e-02 	 6.434e-02 	 5.256e-01 
1.84500 	 1.812e-02 	 6.444e-02 	 5.034e-01 
1.87500 	 1.791e-02 	 6.186e-02 	 5.014e-01 
1.90500 	 1.673e-02 	 5.985e-02 	 4.825e-01 
1.93500 	 1.594e-02 	 5.832e-02 	 4.789e-01 
1.96500 	 1.562e-02 	 5.674e-02 	 4.718e-01 
1.99500 	 1.506e-02 	 5.485e-02 	 4.352e-01 
2.02500 	 1.420e-02 	 5.319e-02 	 4.360e-01 
2.05500 	 1.389e-02 	 5.058e-02 	 4.309e-01 
2.08500 	 1.323e-02 	 4.972e-02 	 4.323e-01 
2.11500 	 1.313e-02 	 4.810e-02 	 3.963e-01 
2.14500 	 1.224e-02 	 4.640e-02 	 3.818e-01 
2.17500 	 1.190e-02 	 4.531e-02 	 3.714e-01 
2.20500 	 1.114e-02 	 4.218e-02 	 3.745e-01 
2.23500 	 1.079e-02 	 4.345e-02 	 3.583e-01 
2.26500 	 1.046e-02 	 4.101e-02 	 3.572e-01 
2.29500 	 1.001e-02 	 3.884e-02 	 3.509e-01 
2.32500 	 9.838e-03 	 3.891e-02 	 3.336e-01 
2.35500 	 9.409e-03 	 3.787e-02 	 3.282e-01 
2.38500 	 8.856e-03 	 3.657e-02 	 3.013e-01 
2.41500 	 8.584e-03 	 3.457e-02 	 3.152e-01 
2.44500 	 8.376e-03 	 3.289e-02 	 2.972e-01 
2.47500 	 8.013e-03 	 3.316e-02 	 2.982e-01 
2.50500 	 7.830e-03 	 3.184e-02 	 2.782e-01 
2.53500 	 7.135e-03 	 3.032e-02 	 2.732e-01 
2.56500 	 7.095e-03 	 2.851e-02 	 2.759e-01 
2.59500 	 6.754e-03 	 2.893e-02 	 2.662e-01 
2.62500 	 6.337e-03 	 2.755e-02 	 2.477e-01 
2.65500 	 6.311e-03 	 2.622e-02 	 2.436e-01 
2.68500 	 6.204e-03 	 2.613e-02 	 2.439e-01 
2.71500 	 5.811e-03 	 2.488e-02 	 2.344e-01 
2.74500 	 5.811e-03 	 2.427e-02 	 2.415e-01 
2.77500 	 5.473e-03 	 2.417e-02 	 2.362e-01 
2.80500 	 5.223e-03 	 2.292e-02 	 2.332e-01 
2.83500 	 5.151e-03 	 2.348e-02 	 2.364e-01 
2.86500 	 4.814e-03 	 2.205e-02 	 2.098e-01 
2.89500 	 4.902e-03 	 2.275e-02 	 2.234e-01 
2.92500 	 4.614e-03 	 2.124e-02 	 2.081e-01 
2.95500 	 4.400e-03 	 2.077e-02 	 1.968e-01 
2.98500 	 4.291e-03 	 2.016e-02 	 1.967e-01 
3.01500 	 2.382e-01 	 9.238e-01 	 7.802e+00 
