10000.000000	number of photons
0.03000	bin size [cm]
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.01500 	 3.575e+02 	 1.680e+01 	 5.633e+00 
0.04500 	 3.880e+01 	 5.473e+00 	 4.279e+00 
0.07500 	 1.439e+01 	 3.283e+00 	 3.781e+00 
0.10500 	 7.172e+00 	 2.361e+00 	 3.425e+00 
0.13500 	 4.612e+00 	 1.854e+00 	 3.144e+00 
0.16500 	 2.953e+00 	 1.529e+00 	 2.866e+00 
0.19500 	 2.149e+00 	 1.284e+00 	 2.777e+00 
0.22500 	 1.631e+00 	 1.077e+00 	 2.594e+00 
0.25500 	 1.242e+00 	 9.423e-01 	 2.521e+00 
0.28500 	 9.939e-01 	 8.154e-01 	 2.397e+00 
0.31500 	 8.368e-01 	 7.789e-01 	 2.294e+00 
0.34500 	 6.929e-01 	 6.870e-01 	 2.157e+00 
0.37500 	 5.969e-01 	 6.236e-01 	 2.087e+00 
0.40500 	 4.976e-01 	 5.659e-01 	 1.963e+00 
0.43500 	 4.257e-01 	 5.186e-01 	 1.928e+00 
0.46500 	 3.697e-01 	 4.869e-01 	 1.854e+00 
0.49500 	 3.465e-01 	 4.331e-01 	 1.779e+00 
0.52500 	 2.999e-01 	 4.212e-01 	 1.729e+00 
0.55500 	 2.647e-01 	 3.903e-01 	 1.675e+00 
0.58500 	 2.410e-01 	 3.701e-01 	 1.680e+00 
0.61500 	 2.182e-01 	 3.481e-01 	 1.541e+00 
0.64500 	 1.990e-01 	 3.310e-01 	 1.481e+00 
0.67500 	 1.785e-01 	 3.160e-01 	 1.474e+00 
0.70500 	 1.632e-01 	 3.028e-01 	 1.379e+00 
0.73500 	 1.544e-01 	 2.813e-01 	 1.360e+00 
0.76500 	 1.405e-01 	 2.641e-01 	 1.351e+00 
0.79500 	 1.329e-01 	 2.453e-01 	 1.292e+00 
0.82500 	 1.173e-01 	 2.401e-01 	 1.243e+00 
0.85500 	 1.088e-01 	 2.301e-01 	 1.226e+00 
0.88500 	 1.057e-01 	 2.189e-01 	 1.181e+00 
0.91500 	 9.791e-02 	 2.136e-01 	 1.153e+00 
0.94500 	 8.899e-02 	 1.949e-01 	 1.077e+00 
