10000.000000	number of photons
0.03000	bin size [cm]
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.01500 	 3.850e+02 	 2.387e+01 	 2.562e+01 
0.04500 	 5.149e+01 	 1.214e+01 	 2.404e+01 
0.07500 	 2.309e+01 	 9.497e+00 	 2.322e+01 
0.10500 	 1.424e+01 	 8.039e+00 	 2.277e+01 
0.13500 	 1.014e+01 	 7.194e+00 	 2.215e+01 
0.16500 	 7.894e+00 	 6.545e+00 	 2.155e+01 
0.19500 	 6.519e+00 	 6.032e+00 	 2.113e+01 
0.22500 	 5.425e+00 	 5.611e+00 	 2.067e+01 
0.25500 	 4.670e+00 	 5.259e+00 	 2.021e+01 
0.28500 	 4.135e+00 	 4.933e+00 	 1.986e+01 
0.31500 	 3.641e+00 	 4.674e+00 	 1.949e+01 
0.34500 	 3.260e+00 	 4.400e+00 	 1.909e+01 
0.37500 	 2.951e+00 	 4.165e+00 	 1.873e+01 
0.40500 	 2.642e+00 	 3.968e+00 	 1.827e+01 
0.43500 	 2.407e+00 	 3.757e+00 	 1.779e+01 
0.46500 	 2.210e+00 	 3.614e+00 	 1.746e+01 
0.49500 	 2.022e+00 	 3.447e+00 	 1.716e+01 
0.52500 	 1.877e+00 	 3.299e+00 	 1.677e+01 
0.55500 	 1.734e+00 	 3.128e+00 	 1.640e+01 
0.58500 	 1.596e+00 	 3.030e+00 	 1.613e+01 
0.61500 	 1.483e+00 	 2.902e+00 	 1.576e+01 
0.64500 	 1.384e+00 	 2.791e+00 	 1.533e+01 
0.67500 	 1.292e+00 	 2.675e+00 	 1.501e+01 
0.70500 	 1.213e+00 	 2.575e+00 	 1.473e+01 
0.73500 	 1.139e+00 	 2.469e+00 	 1.436e+01 
0.76500 	 1.074e+00 	 2.378e+00 	 1.403e+01 
0.79500 	 1.013e+00 	 2.270e+00 	 1.366e+01 
0.82500 	 9.513e-01 	 2.190e+00 	 1.340e+01 
0.85500 	 9.010e-01 	 2.110e+00 	 1.311e+01 
0.88500 	 8.380e-01 	 2.026e+00 	 1.284e+01 
0.91500 	 7.992e-01 	 1.973e+00 	 1.259e+01 
0.94500 	 7.586e-01 	 1.912e+00 	 1.226e+01 
0.97500 	 7.204e-01 	 1.847e+00 	 1.196e+01 
1.00500 	 6.812e-01 	 1.773e+00 	 1.174e+01 
1.03500 	 6.475e-01 	 1.719e+00 	 1.142e+01 
1.06500 	 6.186e-01 	 1.662e+00 	 1.115e+01 
1.09500 	 5.895e-01 	 1.615e+00 	 1.082e+01 
1.12500 	 5.592e-01 	 1.554e+00 	 1.062e+01 
1.15500 	 5.333e-01 	 1.501e+00 	 1.038e+01 
1.18500 	 5.075e-01 	 1.456e+00 	 1.020e+01 
1.21500 	 4.840e-01 	 1.410e+00 	 9.949e+00 
1.24500 	 4.589e-01 	 1.359e+00 	 9.694e+00 
1.27500 	 4.390e-01 	 1.314e+00 	 9.515e+00 
1.30500 	 4.205e-01 	 1.273e+00 	 9.354e+00 
1.33500 	 3.999e-01 	 1.236e+00 	 9.098e+00 
1.36500 	 3.840e-01 	 1.195e+00 	 8.909e+00 
1.39500 	 3.684e-01 	 1.156e+00 	 8.772e+00 
1.42500 	 3.533e-01 	 1.114e+00 	 8.553e+00 
1.45500 	 3.388e-01 	 1.080e+00 	 8.327e+00 
1.48500 	 3.230e-01 	 1.050e+00 	 8.128e+00 
1.51500 	 3.092e-01 	 1.022e+00 	 7.962e+00 
1.54500 	 2.984e-01 	 9.963e-01 	 7.830e+00 
1.57500 	 2.872e-01 	 9.673e-01 	 7.628e+00 
1.60500 	 2.755e-01 	 9.361e-01 	 7.493e+00 
1.63500 	 2.617e-01 	 9.130e-01 	 7.295e+00 
1.66500 	 2.542e-01 	 8.821e-01 	 7.168e+00 
1.69500 	 2.438e-01 	 8.517e-01 	 6.950e+00 
1.72500 	 2.333e-01 	 8.305e-01 	 6.824e+00 
1.75500 	 2.253e-01 	 8.033e-01 	 6.625e+00 
1.78500 	 2.154e-01 	 7.811e-01 	 6.473e+00 
1.81500 	 2.085e-01 	 7.588e-01 	 6.337e+00 
1.84500 	 2.009e-01 	 7.334e-01 	 6.210e+00 
1.87500 	 1.943e-01 	 7.149e-01 	 6.070e+00 
1.90500 	 1.862e-01 	 6.935e-01 	 5.934e+00 
1.93500 	 1.787e-01 	 6.763e-01 	 5.781e+00 
1.96500 	 1.724e-01 	 6.547e-01 	 5.688e+00 
1.99500 	 1.672e-01 	 6.412e-01 	 5.571e+00 
2.02500 	 1.591e-01 	 6.194e-01 	 5.402e+00 
2.05500 	 1.531e-01 	 6.024e-01 	 5.322e+00 
2.08500 	 1.471e-01 	 5.855e-01 	 5.209e+00 
2.11500 	 1.419e-01 	 5.675e-01 	 5.130e+00 
2.14500 	 1.368e-01 	 5.489e-01 	 5.044e+00 
2.17500 	 1.325e-01 	 5.346e-01 	 4.906e+00 
2.20500 	 1.281e-01 	 5.189e-01 	 4.802e+00 
2.23500 	 1.236e-01 	 5.074e-01 	 4.660e+00 
2.26500 	 1.183e-01 	 4.941e-01 	 4.603e+00 
2.29500 	 1.150e-01 	 4.821e-01 	 4.464e+00 
2.32500 	 1.103e-01 	 4.677e-01 	 4.374e+00 
2.35500 	 1.065e-01 	 4.551e-01 	 4.263e+00 
2.38500 	 1.037e-01 	 4.441e-01 	 4.168e+00 
2.41500 	 1.001e-01 	 4.337e-01 	 4.065e+00 
2.44500 	 9.598e-02 	 4.224e-01 	 3.995e+00 
2.47500 	 9.309e-02 	 4.056e-01 	 3.923e+00 
2.50500 	 8.933e-02 	 3.947e-01 	 3.836e+00 
2.53500 	 8.656e-02 	 3.861e-01 	 3.794e+00 
2.56500 	 8.383e-02 	 3.760e-01 	 3.668e+00 
2.59500 	 8.147e-02 	 3.633e-01 	 3.600e+00 
2.62500 	 7.888e-02 	 3.543e-01 	 3.521e+00 
2.65500 	 7.649e-02 	 3.444e-01 	 3.512e+00 
2.68500 	 7.362e-02 	 3.356e-01 	 3.420e+00 
2.71500 	 7.173e-02 	 3.287e-01 	 3.369e+00 
2.74500 	 6.944e-02 	 3.202e-01 	 3.278e+00 
2.77500 	 6.652e-02 	 3.104e-01 	 3.180e+00 
2.80500 	 6.443e-02 	 3.034e-01 	 3.104e+00 
2.83500 	 6.197e-02 	 2.935e-01 	 3.061e+00 
2.86500 	 5.994e-02 	 2.876e-01 	 2.983e+00 
2.89500 	 5.734e-02 	 2.783e-01 	 2.934e+00 
2.92500 	 5.557e-02 	 2.724e-01 	 2.867e+00 
2.95500 	 5.419e-02 	 2.640e-01 	 2.808e+00 
2.98500 	 5.224e-02 	 2.576e-01 	 2.776e+00 
3.01500 	 3.426e+00 	 1.379e+01 	 1.229e+02 
